mission_id,program_id,mission_category,mission_name
3274,373,의견나누기,명화 사전정보 이야기 나누기
3286,375,의견나누기,나라이름 자유롭게 말하기
3300,375,의견나누기,좋은 느낌 싫은 느낌에 대해 자유롭게 이야기하기
3338,100,의견나누기,연말스케줄 공유하기
3402,119,의견나누기,부스운영 만족도 조사하기
3550,416,의견나누기,설문지 작성 후 마무리하기
3579,55,의견나누기,"간담회 진행을 위한 장소, 선물, 프로그램 정하기"
3580,55,의견나누기,관장님의 의견과 우리들의 건의 사항 토론
3604,49,의견나누기,다옴 유튜버의 문제점에 대한 피드백 듣고 개선방안 생각해보기
3611,49,의견나누기,유튜브 운영 시 가져야 할 마인드에 대해 토의하기
3762,54,의견나누기,활동 관련 선생님 공지 및 안내사항 경청하기
3791,177,의견나누기,개인 과제 공유하기
3793,177,의견나누기,발표듣기
3883,175,의견나누기,중간과정 점검
4022,156,의견나누기,이야기 나누기
4030,54,의견나누기,특별위원회 회의 결과 발표 및 경청하기
4032,54,의견나누기,TF팀 회의 결과 발표 및 경청하기
4033,54,의견나누기,활동 관련 선생님의 공지사항 경청하기
4037,52,의견나누기,활동 발표듣기
4039,52,의견나누기,내년 활동계획 이야기나누기
4044,3,의견나누기,활동 발표듣기
4046,3,의견나누기,내년 활동계획 이야기나누기
4055,102,의견나누기,소감말하기
4076,102,의견나누기,체험을 마치고 소감 나누기
